Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate
12.838043,236,0,0,194,0,968,885
16.878372,165,0.02,143.57,163.81,0,1005.6,900.9
17.822954,167.95,42.08,163.83,121.75,5.72,1058.7,780.11
17.836744,213.76,98.06,24.52,181.74,6.65,1066,785.52
18.126324,302,0,0,203,0,974,817
19.415644,190.34,0,125.18,166.61,9.88,1079,798.9
20.084436,229.97,0,118.31,195.47,4.63,1029.4,758.59
20.725649,251.37,0,118.27,192.94,5.75,1043.6,754.3
20.773912,322,0,0,203,0,974,800
20.918701,212.07,0,121.62,180.31,5.69,1057.6,779.32
21.063492,190.68,0,125.4,162.14,7.77,1090,804.01
21.26344,277,0,0,191,0,968,856
21.504757,182.04,45.21,121.97,170.21,8.19,1059.4,780.65
21.601284,181.38,0,167.01,169.59,7.56,1055.6,777.8
22.139074,233.81,0,94.58,197.89,4.567,947.04,852.16
22.318338,229.68,0,118.16,195.23,6.13,1028.1,757.63
22.532076,350,0,0,203,0,974,775
22.718235,190.34,0,125.18,161.85,9.88,1088.1,802.59
23.511131,168.88,42.22,124.25,158.33,10.83,1080.8,796.15
24.283344,194.68,0,100.52,170.17,7.48,998,901.8
24.428135,251.37,0,118.27,188.45,6.35,1028.4,757.73
24.448818,222.36,0,96.67,189.29,4.46,967.08,870.32
24.655663,250,0,95.69,191.84,5.33,948.9,857.2
24.917664,250,0,95.69,187.42,5.53,956.86,861.17
24.98661,194.68,0,100.52,165.62,7.48,1006.4,905.9
25.372717,212.57,0,100.39,159.35,10.37,1003.8,903.79
25.483032,166.09,0,163.27,176.46,4.49,1058.6,780.09
25.620928,376,0,0,214.6,0,1003.5,762.36
25.689877,238.05,0,94.11,186.66,7,949.91,847.01
26.048403,218.85,0,124.13,158.49,11.33,1078.7,794.91
26.310404,212.52,0,100.37,159.32,8.71,1007.8,903.59
26.772352,231.75,0,121.62,173.96,6.72,1056.4,778.45
27.041248,339,0,0,197,0,968,781
27.923779,385,0,0,186,0,966,763
28.682201,249.1,0,98.75,158.11,12.8,987.76,889.01
29.550941,173.81,93.37,159.9,172.34,9.73,1007.2,746.6
29.59231,213.5,0,174.24,159.21,11.66,1043.6,771.9
29.750889,172.38,13.61,172.37,156.76,4.14,1006.3,856.4
29.930153,251.37,0,118.27,188.45,5.75,1028.4,757.73
30.385208,213.72,98.05,24.51,181.71,6.86,1065.8,785.38
31.350473,212,0,124.78,159,7.84,1085.4,799.54
31.812422,167.35,129.9,128.62,175.46,7.79,1006.3,746.6
32.901794,167,75.4,167,164.03,7.91,1007.3,770.1
33.005215,173.54,50.05,173.53,164.77,6.47,1006.2,793.5
33.08795,165,128.5,132.1,175.06,8.08,1005.8,746.6
33.35685,251.81,0,99.94,146.14,12.35,1006,899.76
33.701588,213.5,0,174.24,154.61,11.66,1052.3,775.48
33.729164,213.74,0,174.74,154.79,10.16,1053.5,776.35
34.23938,178.03,129.8,118.6,179.94,3.57,1007.3,746.8
34.673748,290.35,0,96.18,168.08,9.41,961.18,865
35.232224,295.71,0,95.64,171.54,8.87,955.14,859.2
35.956173,218.23,54.64,123.78,140.75,11.91,1075.7,792.67
36.93523,500,0,0,200,0,1125,613
36.990387,297.16,0,117.54,174.8,9.52,1022.8,753.45
38.60376,214.9,53.8,121.89,155.63,9.61,1014.3,780.58
38.769234,275.07,0,121.35,159.48,9.9,1053.6,777.5
41.885666,277.05,0,97.39,160.6,11.83,973.9,875.61
42.216614,246.83,0,125.08,143.3,11.99,1086.8,800.89
42.292458,252.31,0,98.75,146.25,14.17,987.76,889.01
47.71174,277.19,97.82,24.46,160.7,11.19,1061.7,782.46
48.401215,525,0,0,189,0,1125,613
59.76378,540,0,0,173,0,1125,613
