Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate
80.19985,323.7,282.8,0,183.8,10.3,942.7,659.9
79.400055,389.9,189,0,145.9,22,944.7,755.8
77.29716,362.6,189,0,164.9,11.6,944.7,755.8
74.364914,424,22,132,168,8.92,822,750
73.69809,401.8,94.7,0,147.4,11.4,946.8,852.1
72.99483,286.3,200.9,0,144.7,11.2,1004.6,803.7
72.298454,475,118.8,0,181.1,8.9,852.1,781.5
71.69861,439,177,0,186,11.1,884.9,707.9
69.29923,469,117.2,0,137.8,32.2,852.1,840.5
68.75061,359,19,141,154,10.91,942,801
66.82401,277.19,97.82,24.46,160.7,11.19,1061.7,782.46
66.78068,359,19,141,154,10.91,942,801
66.10007,318.8,212.5,0,155.7,14.3,852.1,880.4
65.69721,424,22,132,178,8.48,822,750
64.900375,313.3,262.2,0,175.5,8.6,1046.9,611.8
64.900375,425,106.3,0,151.4,18.6,936,803.7
64.30053,425,106.3,0,153.5,16.5,852.1,887.1
63.39732,374,189.2,0,170.1,10.1,926.1,756.7
61.990788,218.23,54.64,123.78,140.75,11.91,1075.7,792.67
61.855846,491,26,123,201,3.93,822,699
61.459892,387,20,94,157,11.61,938,845
61.06689,446,24,79,162,11.61,967,712
60.322254,246.83,0,125.08,143.3,11.99,1086.8,800.89
60.19815,375,93.8,0,126.6,23.4,852.1,992.6
59.89478,337.9,189,0,174.9,9.5,944.7,755.8
59.590427,491,26,123,210,3.93,882,699
58.79851,531.3,0,0,141.8,28.2,852.1,893.7
56.847298,275.07,0,121.35,159.48,9.9,1053.6,777.5
56.337086,387,20,94,157,14.32,938,845
56.14403,446,24,79,162,11.64,967,712
55.82687,252.31,0,98.75,146.25,14.17,987.76,889.01
55.25461,446,24,79,162,11.64,967,712
55.199448,388.6,97.1,0,157.9,12.1,852.1,925.7
54.89608,379.5,151.2,0,153.9,15.9,1134.3,605
54.76508,446,24,79,162,10.3,967,712
53.958393,214.9,53.8,121.89,155.63,9.61,1014.3,780.58
53.772232,173.54,50.05,173.53,164.77,6.47,1006.2,793.5
53.72397,165,128.5,132.1,175.06,8.08,1005.8,746.6
53.461967,167,75.4,167,164.03,7.91,1007.3,770.1
51.95891,297.16,0,117.54,174.8,9.52,1022.8,753.45
51.72449,167.35,129.9,128.62,175.46,7.79,1006.3,746.6
51.43491,213.5,0,174.24,154.61,11.66,1052.3,775.48
51.255646,213.5,0,174.24,159.21,11.66,1043.6,771.9
51.035015,277.05,0,97.39,160.6,11.83,973.9,875.61
50.773014,213.72,98.05,24.51,181.71,6.86,1065.8,785.38
48.98727,173.81,93.37,159.9,172.34,9.73,1007.2,746.6
48.718372,295.71,0,95.64,171.54,8.87,955.14,859.2
48.58737,178.03,129.8,118.6,179.94,3.57,1007.3,746.8
47.966846,387,20,94,157,13.93,938,845
47.13258,213.76,98.06,24.52,181.74,6.65,1066,785.52
46.64305,213.74,0,174.74,154.79,10.16,1053.5,776.35
45.084835,212,0,124.78,159,7.84,1085.4,799.54
45.084835,290.35,0,96.18,168.08,9.41,961.18,865
44.52045,284,15,141,179,5.46,842,801
44.39536,212.57,0,100.39,159.35,10.37,1003.8,903.79
44.140255,251.81,0,99.94,146.14,12.35,1006,899.76
43.499043,182.04,45.21,121.97,170.21,8.19,1059.4,780.65
43.388725,194.68,0,100.52,170.17,7.48,998,901.8
42.69925,231.75,0,121.62,173.96,6.72,1056.4,778.45
42.547565,212.52,0,100.37,159.32,8.71,1007.8,903.59
42.030457,249.1,0,98.75,158.11,12.8,987.76,889.01
39.64487,250,0,95.69,191.84,5.33,948.9,857.2
39.58971,238.05,0,94.11,186.66,7,949.91,847.01
39.26566,251.37,0,118.27,192.94,5.75,1043.6,754.3
39.14845,168.88,42.22,124.25,158.33,10.83,1080.8,796.15
38.562393,190.34,0,125.18,161.85,9.88,1088.1,802.59
38.327972,250,0,95.69,187.42,5.53,956.86,861.17
37.26618,218.85,0,124.13,158.49,11.33,1078.7,794.91
36.969704,251.37,0,118.27,188.45,5.75,1028.4,757.73
36.638756,251.37,0,118.27,188.45,6.35,1028.4,757.73
36.562912,165,0.02,143.57,163.81,0,1005.6,900.9
36.30091,376,0,0,214.6,0,1003.5,762.36
35.852753,172.38,13.61,172.37,156.76,4.14,1006.3,856.4
35.57007,181.38,0,167.01,169.59,7.56,1055.6,777.8
35.34254,190.68,0,125.4,162.14,7.77,1090,804.01
34.204903,212.07,0,121.62,180.31,5.69,1057.6,779.32
33.96359,194.68,0,100.52,165.62,7.48,1006.4,905.9
32.85353,167.95,42.08,163.83,121.75,5.72,1058.7,780.11
31.715897,190.34,0,125.18,166.61,9.88,1079,798.9
31.536633,229.97,0,118.31,195.47,4.63,1029.4,758.59
31.350473,229.68,0,118.16,195.23,6.13,1028.1,757.63
29.978416,350,0,0,203,0,974,775
29.44752,222.36,0,96.67,189.29,4.46,967.08,870.32
28.627043,166.09,0,163.27,176.46,4.49,1058.6,780.09
27.661777,233.81,0,94.58,197.89,4.567,947.04,852.16
23.245192,202,11,141,206,1.72,942,801
