Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate
2.3318079,108.3,162.4,0,203.5,0,938.2,849
3.3198268,122.6,183.9,0,203.5,0,958.2,800.1
4.5650206,102,153,0,192,0,887,942
4.7822056,153,102,0,192,0,888,943.1
4.827711,141.3,212,0,203.5,0,971.8,748.5
4.9035535,183.9,122.6,0,203.5,0,959.2,800
6.267337,385,0,0,186,0,966,763
6.280437,116,173,0,192,0,909.8,891.9
6.4672847,236,0,0,194,0,968,885
6.8085756,212,141.3,0,203.5,0,973.4,750
6.8837285,133,200,0,192,0,927.4,839.2
6.902344,166.8,250.2,0,203.5,0,975.6,692.6
6.9409547,173,116,0,192,0,946.8,856.8
7.3153405,182.04,45.21,121.97,170.21,8.19,1059.4,780.65
7.3980775,168.88,42.22,124.25,158.33,10.83,1080.8,796.15
7.74971,167.95,42.08,163.83,121.75,5.72,1058.7,780.11
8.063422,139.6,209.4,0,192,0,1047,806.9
8.204075,255,0,0,192,0,889.8,945
8.48745,250,0,95.69,191.84,5.33,948.9,857.2
9.13142,198.6,132.4,0,192,0,978.4,825.5
9.307926,254,0,0,198,0,968,863
9.445821,190.34,0,125.18,161.85,9.88,1088.1,802.59
9.561653,203.5,305.3,0,203.5,0,963.4,630
9.694722,157,236,0,192,0,935.4,781.2
9.731264,250.2,166.8,0,203.5,0,977.6,694.1
9.849657,202,11,141,206,1.72,942,801
9.866402,310,0,0,192,0,971,850.6
10.031876,229.97,0,118.31,195.47,4.63,1029.4,758.59
10.383509,233.81,0,94.58,197.89,4.567,947.04,852.16
10.76272,166.09,0,163.27,176.46,4.49,1058.6,780.09
11.362564,277,0,0,191,0,968,856
11.414275,200,133,0,192,0,965.4,806.2
11.576302,222.36,0,96.67,189.29,4.46,967.08,870.32
11.654902,289,0,0,192,0,913.2,895.3
11.852093,310,0,0,192,0,1012,830
11.983093,251.37,0,118.27,192.94,5.75,1043.6,754.3
12.1761465,194.68,0,100.52,170.17,7.48,998,901.8
12.451937,194.68,0,100.52,165.62,7.48,1006.4,905.9
12.472621,212.07,0,121.62,180.31,5.69,1057.6,779.32
12.541569,307,0,0,193,0,968,812
12.548463,190.34,0,125.18,166.61,9.88,1079,798.9
12.638095,500,0,0,200,0,1125,613
12.788401,192,288,0,192,0,929.8,716.1
13.1207285,251.37,0,118.27,188.45,6.35,1028.4,757.73
13.182781,213.76,98.06,24.52,181.74,6.65,1066,785.52
13.22415,339,0,0,197,0,968,781
13.334466,212.57,0,100.39,159.35,10.37,1003.8,903.79
13.35515,229.68,0,118.16,195.23,6.13,1028.1,757.63
13.395534,284,15,141,179,5.46,842,801
13.520624,331,0,0,192,0,879,825
13.520624,331,0,0,192,0,978,825
13.541308,212.52,0,100.37,159.32,8.71,1007.8,903.59
13.56544,236,157,0,192,0,972.6,749.1
13.624045,181.38,0,167.01,169.59,7.56,1055.6,777.8
13.817099,250,0,95.69,187.42,5.53,956.86,861.17
14.14391,305.3,203.5,0,203.5,0,965.4,631
14.306627,331,0,0,192,0,1025,821
14.396259,165,0.02,143.57,163.81,0,1005.6,900.9
14.699628,385,0,0,186,0,966,763
14.940945,167.35,129.9,128.62,175.46,7.79,1006.3,746.6
14.989208,349,0,0,192,0,1047,806
15.044366,190.68,0,125.4,162.14,7.77,1090,804.01
15.049192,349,0,0,192,0,1047,806.9
15.340841,218.85,0,124.13,158.49,11.33,1078.7,794.91
15.361526,249.1,0,98.75,158.11,12.8,987.76,889.01
15.437367,231.75,0,121.62,173.96,6.72,1056.4,778.45
15.520104,167,75.4,167,164.03,7.91,1007.3,770.1
15.609736,213.5,0,174.24,159.21,11.66,1043.6,771.9
15.615942,333,0,0,192,0,931.2,842.6
15.81658,173.81,93.37,159.9,172.34,9.73,1007.2,746.6
15.8717375,349,0,0,192,0,1056,809
16.109606,288,192,0,192,0,932,717.8
16.278528,376,0,0,214.6,0,1003.5,762.36
17.22311,251.37,0,118.27,188.45,5.75,1028.4,757.73
17.3679,213.5,0,174.24,154.61,11.66,1052.3,775.48
17.574743,213.74,0,174.74,154.79,10.16,1053.5,776.35
17.995323,213.72,98.05,24.51,181.71,6.86,1065.8,785.38
18.016008,214.9,53.8,121.89,155.63,9.61,1014.3,780.58
19.10538,393,0,0,192,0,940,758
19.199148,393,0,0,192,0,940.6,785.6
19.415644,165,128.5,132.1,175.06,8.08,1005.8,746.6
19.519066,212,0,124.78,159,7.84,1085.4,799.54
19.93275,238.05,0,94.11,186.66,7,949.91,847.01
20.725649,178.03,129.8,118.6,179.94,3.57,1007.3,746.8
21.022123,251.81,0,99.94,146.14,12.35,1006,899.76
21.29102,172.38,13.61,172.37,156.76,4.14,1006.3,856.4
21.780546,252.31,0,98.75,146.25,14.17,987.76,889.01
21.911547,297.16,0,117.54,174.8,9.52,1022.8,753.45
22.504498,290.35,0,96.18,168.08,9.41,961.18,865
22.752708,387,20,94,157,14.32,938,845
22.94576,295.71,0,95.64,171.54,8.87,955.14,859.2
23.076761,173.54,50.05,173.53,164.77,6.47,1006.2,793.5
23.138815,277.05,0,97.39,160.6,11.83,973.9,875.61
23.345657,446,24,79,162,11.64,967,712
23.524921,246.83,0,125.08,143.3,11.99,1086.8,800.89
23.639177,359,19,141,154,10.91,942,801
23.80071,275.07,0,121.35,159.48,9.9,1053.6,777.5
24.097187,337.9,189,0,174.9,9.5,944.7,755.8
24.393661,480,0,0,192,0,936,721
24.400557,286.3,200.9,0,144.7,11.2,1004.6,803.7
24.404692,480,0,0,192,0,936.2,712.2
25.021084,446,24,79,162,11.64,967,712
25.116625,359,19,141,154,10.91,942,801
25.200348,318.8,212.5,0,155.7,14.3,852.1,880.4
25.510612,387,20,94,157,13.93,938,845
25.609108,491,26,123,210,3.93,882,699
26.062193,500,0,0,200,0,1125,613
27.42046,218.23,54.64,123.78,140.75,11.91,1075.7,792.67
28.096148,388.6,97.1,0,157.9,12.1,852.1,925.7
28.296095,323.7,282.8,0,183.8,10.3,942.7,659.9
28.599464,379.5,151.2,0,153.9,15.9,1134.3,605
28.799412,313.3,262.2,0,175.5,8.6,1046.9,611.8
28.999361,375,93.8,0,126.6,23.4,852.1,992.6
29.548971,491,26,123,201,3.93,822,699
30.44726,277.19,97.82,24.46,160.7,11.19,1061.7,782.46
32.011387,424,22,132,178,8.48,882,750
32.109882,424,22,132,168,8.92,822,750
33.398216,425,106.3,0,153.5,16.5,852.1,887.1
33.798115,525,0,0,189,0,1125,613
34.397957,374,189.2,0,170.1,10.1,926.1,756.7
34.770275,387,20,94,157,11.61,938,845
35.30117,362.6,189,0,164.9,11.6,944.7,755.8
35.363224,446,24,79,162,11.61,967,712
36.30091,425,106.3,0,151.4,18.6,936,803.7
37.797073,475,118.8,0,181.1,8.9,852.1,781.5
39.300133,439,177,0,186,11.1,884.9,707.9
40.19645,469,117.2,0,137.8,32.2,852.1,840.5
40.596348,389.9,189,0,145.9,22,944.7,755.8
41.099663,401.8,94.7,0,147.4,11.4,946.8,852.1
41.299614,531.3,0,0,141.8,28.2,852.1,893.7
41.637455,540,0,0,173,0,1125,613
